epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5112,1.15203,2.79735,1.27662,0.00818,1,0.69156,0.57889,0.4528,2.73939,0.9413,0.00012,0.00012,0.00012
2,113.149,0.93384,1.85254,1.14358,1,0.65717,0.9771,0.84959,0.50421,2.07352,0.9397,0.00025142,0.00025142,0.00025142
3,164.576,0.89466,1.13702,1.09512,1,0.78159,0.97427,0.81533,0.60079,1.8442,0.97788,0.0003736,0.0003736,0.0003736
4,214.541,0.87991,1.1413,1.08943,0.97804,0.82495,0.97951,0.84171,0.58719,1.68397,1.0121,0.00048654,0.00048654,0.00048654
5,271.676,0.81965,1.01716,1.04502,0.93653,0.81481,0.94203,0.76288,0.63221,1.62127,1.11004,0.00059024,0.00059024,0.00059024
6,323.672,0.88989,1.00813,1.10817,0.95444,0.77591,0.90491,0.6827,0.85529,1.70772,1.20951,0.0006847,0.0006847,0.0006847
7,376.534,0.89439,1.02703,1.07942,0.77745,0.55556,0.71092,0.58229,0.67718,2.17172,1.07406,0.00076992,0.00076992,0.00076992
8,428.265,0.83013,0.92686,1.04934,0.91118,0.57,0.68933,0.57424,0.65894,1.99523,1.05572,0.0008459,0.0008459,0.0008459
9,483.044,0.77054,0.85142,1.0112,0.37733,0.61111,0.50136,0.41502,0.68363,2.09943,1.062,0.00091264,0.00091264,0.00091264
10,536.673,0.80708,0.831,1.03467,0.93282,0.83333,0.8984,0.74206,0.63055,1.56219,1.05234,0.00097014,0.00097014,0.00097014
11,588.705,0.83894,0.89701,1.09425,0.85501,0.87365,0.92325,0.78859,0.63101,1.47997,1.10429,0.0010184,0.0010184,0.0010184
12,647.923,0.79648,0.80298,1.03523,0.90032,0.92593,0.9569,0.79952,0.65244,1.39654,1.06923,0.00105742,0.00105742,0.00105742
13,702.263,0.78281,0.8076,1.02727,0.90006,0.7963,0.91033,0.73814,0.66212,1.45732,1.06784,0.0010872,0.0010872,0.0010872
14,757.744,0.79277,0.75873,1.03911,0.55389,0.68983,0.65765,0.49497,0.68659,1.76853,1.20576,0.00110774,0.00110774,0.00110774
15,810.512,0.78273,0.78818,1.03984,0.85547,0.87698,0.86648,0.68416,0.68585,1.34553,1.24936,0.001076,0.001076,0.001076
16,866.307,0.80064,0.78157,1.04997,0.9607,0.90741,0.98736,0.77799,0.72703,1.06352,1.18775,0.00101,0.00101,0.00101
17,922.839,0.77156,0.77348,1.04157,0.89956,0.99518,0.98143,0.79131,0.68499,1.08194,1.16771,0.000944,0.000944,0.000944
18,975.188,0.73977,0.70992,0.99139,0.92889,0.96772,0.98626,0.82127,0.64435,0.94478,1.128,0.000878,0.000878,0.000878
19,1028.49,0.75051,0.71205,1.02735,0.93932,0.92593,0.96665,0.82561,0.62475,0.87746,1.01558,0.000812,0.000812,0.000812
20,1083.24,0.69213,0.65646,0.98432,0.89168,0.91473,0.95779,0.82149,0.57994,0.89346,0.99411,0.000746,0.000746,0.000746
21,1150.92,0.71666,1.01391,1.01373,0.92691,0.90741,0.96789,0.84184,0.57558,0.89894,0.98014,0.00068,0.00068,0.00068
22,1232.62,0.6911,0.86883,0.98406,0.94403,0.92593,0.97227,0.79885,0.62561,1.15042,1.03725,0.000614,0.000614,0.000614
23,1303.74,0.67643,0.82803,0.96704,0.95653,0.98148,0.99182,0.88161,0.54876,1.00825,0.98466,0.000548,0.000548,0.000548
24,1374.82,0.64226,0.78751,0.94694,0.98028,0.92054,0.99011,0.85745,0.5728,0.93225,1.00306,0.000482,0.000482,0.000482
25,1442.49,0.63923,0.76555,0.94426,0.98081,0.94656,0.99162,0.84722,0.58,0.88301,1.01097,0.000416,0.000416,0.000416
26,1508.36,0.62657,0.72456,0.9394,0.9814,0.97727,0.99353,0.86558,0.52309,0.82658,0.97824,0.00035,0.00035,0.00035
27,1572.83,0.60666,0.71381,0.92076,0.98291,0.96296,0.99375,0.90034,0.49631,0.74938,0.95903,0.000284,0.000284,0.000284
28,1647.44,0.57343,0.69674,0.93074,0.99809,0.98148,0.99482,0.90883,0.49766,0.68395,0.96245,0.000218,0.000218,0.000218
29,1720.19,0.56581,0.66657,0.91787,0.99705,0.98148,0.99482,0.90776,0.50072,0.66955,0.96109,0.000152,0.000152,0.000152
30,1787.27,0.56243,0.66168,0.93268,0.99703,0.98148,0.99482,0.89492,0.50003,0.64789,0.95918,8.6e-05,8.6e-05,8.6e-05
